"id","profileName","text","date","title","rating","images","helpful","Colour"
"R1KDGYNRGM373A","MALLIKARJUN  BALIGIDAD","Super sound","Reviewed in India 🇮🇳 on 28 May 2023","Oneplus",4,"",0,"Black"
"R2AHL7NQ1IONA3","Saradhi.p","Awesome battery backup. Good call quality when compared to other products. Go for it without any second thought","Reviewed in India 🇮🇳 on 25 May 2023","Best quality",4,"",0,"Black"
"RWYI1RZRIII7F","Siddharth ","Good 👍","Reviewed in India 🇮🇳 on 27 May 2023","Siddharth",4,"",0,"Black"
"RU11MR9R2O0BB","sampath","Nice","Reviewed in India 🇮🇳 on 27 May 2023","Nice",4,"",0,"Black"
"R2D6MCAAIJ15SJ","Jorjia","Best","Reviewed in India 🇮🇳 on 27 May 2023","High Quality",4,"",0,"Black"
"R2RSLVJK2RKMPL","CHIRANJEEV KUMAR","Exceptional sound quality, comfortable fit, and user-friendly controls.connectivity is also stable, it is a reliable and enjoyable wireless audio option.According to me the price is little costly.","Reviewed in India 🇮🇳 on 18 May 2023","User friendly earphone",4,"",0,"Black"
"ROKF9RGOCTS98","Farheen z.","Sir mujhe aj parcel receive hua lekin bill nhi aya hai iske sath.. warranty card nhi aya hai.. plz send me as soon as possible.","Reviewed in India 🇮🇳 on 16 May 2023","Nice product",4,"",0,"Black"
"R30J042DEZ1UYE","Ayishu","Ear buds are a bit large for me. Doesn't fit properly. Other than this, super affordable, easy to use and good sound quality","Reviewed in India 🇮🇳 on 18 May 2023","Great sound quality, easy to handle",4,"",0,"Black"
"R1ZVY3F1J7U11W","Shivam",,"Reviewed in India 🇮🇳 on 27 May 2023","Ok",4,"https://m.media-amazon.com/images/I/51Ec+7aMT6L.jpg",0,"Black"
"R3KRF9DB0DPVFJ","Rahul Jayswal","Overall good","Reviewed in India 🇮🇳 on 27 May 2023","Velue for money",4,"",0,"Black"
"R3J40QFXHPN1UH","K.S.Ramanujam","Good battery life and good sound quality and durability is also good","Reviewed in India 🇮🇳 on 15 May 2023","Good",4,"",0,"Black"
"R38EZT7Z76Z551","Shri narayan meena","Very good sound. I like it","Reviewed in India 🇮🇳 on 23 May 2023","OnePlus",4,"https://m.media-amazon.com/images/I/71hcyFgoWkL.jpg",0,"Black"
"R3GAAE7I2ENZ30","Vicky netam","Travel is good but bass normal..","Reviewed in India 🇮🇳 on 21 May 2023","Bass so lite .",4,"",0,"Black"
"R2JOV3PKYJ85N7","Parveen","Good","Reviewed in India 🇮🇳 on 26 May 2023","Quality is good",4,"",0,"Black"
"R1JTFNWO3ZWC4D","Suraj","I like this","Reviewed in India 🇮🇳 on 24 May 2023","Ok ok",4,"",0,"Black"
"R1EI75CW0SVB3Y","R George"," I have been using z2 neckband since it was first released. My first one is still working without fault and I again bought a new one because of its awesome experience.By the way, I bought a new one for a family member of mine. One thing to note, it is not suited a heavily sweating person during exercise.I have uploaded the first gen and 2nd gen z2 headphone, if you look carefully you can see the difference. Also I own a boat rockerz 255 pro+. As I am constantly using both models simultaneously I can definitely give the thumps up to Op. Another fact,I had my boat replaced after 5 months of usage because it stopped working.I anyone ask  me directly,I would definitely give them reasons on why I prefer op as to others.tq","Reviewed in India 🇮🇳 on 1 April 2023","My second 1 that 1 bought",4,"https://m.media-amazon.com/images/I/71+URJRfOUL.jpg
https://m.media-amazon.com/images/I/71dth4Z-dsL.jpg","9","Black"
"RF29XV2KH4WFH","Umesh Gaikwad","Once again one plus... Superb","Reviewed in India 🇮🇳 on 20 May 2023","Excellent",4,"",0,"Black"
"R3CE3KR4AFVLPJ","BALAKRISHNAN","Good performance by one plus head set","Reviewed in India 🇮🇳 on 22 May 2023","Good item",4,"",0,"Black"
"RP8IDALJZY30F","Vikash Kumar","Sound is good build quality is good bass is good almost product is velue for money in 2000 not upside","Reviewed in India 🇮🇳 on 19 May 2023","Its Good Nackband in the Segment",4,"",0,"Black"
"R379M3H03JWLCB","len","excellent","Reviewed in India 🇮🇳 on 18 May 2023","sound quality",4,"",0,"Black"
"R28SDJAVMIWYIB","M Narsimha","OnePlus Bullets Z2 is Super Sound And Fast Charging Is Extremely nice 👍","Reviewed in India 🇮🇳 on 20 May 2023","OnePlus Bullets Z2",4,"https://m.media-amazon.com/images/I/61CSSEVP6gL.jpg
https://m.media-amazon.com/images/I/61buz7ZS7RL.jpg
https://m.media-amazon.com/images/I/61oebdbw3uL.jpg",0,"Black"
"R4JLOUTRHSXTE","roshani","Amazing","Reviewed in India 🇮🇳 on 21 May 2023","Nice",4,"",0,"Black"
"RAGKKH1O6HAVQ","Pramod kumar","Good sound high bass treble .. Don't use during the walking on road then  you will not able to hear out side noice 🙀","Reviewed in India 🇮🇳 on 13 May 2023","Experience different sound quality",4,"",1,"Black"
"R2JU2QJZMKHKB5","Pawan","Good Product","Reviewed in India 🇮🇳 on 16 May 2023","Nice Product",4,"",0,"Black"
"RH4QAZO8VAW55","Nanda kumar","Good","Reviewed in India 🇮🇳 on 17 May 2023","Good",4,"",0,"Black"
"R1G8QH7U1BWJIK","Gulshan Kumar Khaparde","The charging port of Type C in the headphones is open. Dust can enter it. Should the company CAP that?","Reviewed in India 🇮🇳 on 11 May 2023","Charging Port",4,"https://m.media-amazon.com/images/I/61IsKV97O9L.jpg",1,"Black"
"R34IS1VYSHLPU1","Saurav Kumar","Thanks Amazon","Reviewed in India 🇮🇳 on 19 May 2023","Sound And Battery Backup is Good",4,"",0,"Black"
"R1NQS3XZJIXR80","Baap ji","everything is okay,but manually turn off/on is not available in this.","Reviewed in India 🇮🇳 on 13 May 2023","manually turn off/on",4,"",1,"Black"
"R364KXGRQ355BX","Ch satya","Good","Reviewed in India 🇮🇳 on 12 May 2023","Good",4,"",0,"Black"
"R1PRJR12QBHF7E","Jabaveeran","Ok","Reviewed in India 🇮🇳 on 14 May 2023","Good",4,"",0,"Black"
"R3KCXLJJHEOI86","YATHARTH RAGHUVANSHI","Connectivity range- Excellent 👍Battery 🔋 - GoodValue for money 💰Sufficient functions","Reviewed in India 🇮🇳 on 10 May 2023","Good product with long range connectivity",4,"https://m.media-amazon.com/images/I/61T2-PRXSRL.jpg
https://m.media-amazon.com/images/I/71VFzNm+qXL.jpg",1,"Black"
"R2SX63TGWL10ZR","Dipesh jat","its good at all but on driving we cant talk oncall from wireless it doesnt have any noise cancelation","Reviewed in India 🇮🇳 on 5 May 2023","good product",4,"",0,"Black"
"R2UPTYNQIV55NY","Veer Berwal","Good quality..5 min charge is enough for the day","Reviewed in India 🇮🇳 on 12 May 2023","Good purchase",4,"",1,"Black"
"R3JNKQG1MHD1AS","Manu","Very good 👍","Reviewed in India 🇮🇳 on 12 May 2023","Very nice",4,"",1,"Black"
"R1EPMWSVW7TDYN","sukhad agrawal","Music net button not available in this product..","Reviewed in India 🇮🇳 on 10 May 2023","Music button",4,"",0,"Black"
"R3AMZS8G6ES0PP","Abhinav","Overall decent product to use however bass could be better.","Reviewed in India 🇮🇳 on 14 May 2023","Low bass, overall decent product",4,"",0,"Black"
"R1UCYSDTENJP8O","vikram k.","Compared to Oppo Enco M32.. there is lag between connection and when you really hear the voice... pairing is not as smooth... charging port is not covered...battery back up is good.. extra rubber I case of oppo, makes this product comparatively better only in this aspect..","Reviewed in India 🇮🇳 on 25 April 2023","Good, not very good",4,"","2","Black"
"R3WJMO9NA7SDR","PUNEETH C","The Product is Ultimate","Reviewed in India 🇮🇳 on 10 May 2023","Awesome",4,"",0,"Black"
"REARSD376TX6G","Placeholder","good","Reviewed in India 🇮🇳 on 8 May 2023","good",4,"",0,"Black"
"R10XKFDNG17JGX","pramod latpate","Must try","Reviewed in India 🇮🇳 on 13 May 2023","Excellent product",4,"",0,"Black"
"R1M090SKTPVAJP","kajal jaiswal","I am a rough user and for me it's a perfect","Reviewed in India 🇮🇳 on 5 May 2023","Love it",4,"",1,"Black"
"RWEDC5O9UJ1UG","Amazon User","Bass is good; gives a studio effect. Easy to connect and battery backup is adequate as well. Sometimes, the bass makes it diffcult to hear speech or dialogues. But overall, a good product.","Reviewed in India 🇮🇳 on 25 April 2023","Good product!",4,"",0,"Black"
"R2W393KLQ2RUD6","Sabir","Nice product ever 👍😊","Reviewed in India 🇮🇳 on 4 May 2023","..",4,"",0,"Black"
"R33IYBR0Z6K5U3","Balram Kumar"," Mr Balram Singh  very nice 👌 👍","Reviewed in India 🇮🇳 on 28 May 2023","Very nice 👌",4,"https://m.media-amazon.com/images/I/816QiTM5AfL.jpg",0,"Black"
"R2QLFQL5VMIYNS","shiva","Best product. Will suggest this one to all my friends. Feels better quality than others products present in market.","Reviewed in India 🇮🇳 on 4 May 2023","User",4,"https://m.media-amazon.com/images/I/61TgFir7IoL.jpg","2","Black"
"R23CQX2XNWXJSK","Ravi Sarkate","But this headphones clear and clean sound high bass vale for many products 💯🙏","Reviewed in India 🇮🇳 on 1 May 2023","Werles headphones is leat sounds problem 🤬",4,"",0,"Black"
"R1HLWUOS43RVIX","T J THIYAGARAJAN","Excellent","Reviewed in India 🇮🇳 on 8 May 2023","Excellent",4,"",1,"Black"
"R3SNEOFJ2LRG63","Deepti S.","See here is the honest review after using these neckband for almost 1.5 months, the sound and the base are well balanced but you may find vocals a little bit off but aside from that the sound quality is justified according to its price though I found it a bit overrated. now here is the problem, the thing is this is my first time using neckband before that I was owning mivi tws therefore it is an upgrade but I came through many connectivity issues like when you are on call and connect these in the middle of call they do not connect therefore I would have disconnect the call and connect them first and then call again.This has totally ruined my experience and then if I disconnect the call they do not connect to media like wtf then again i have to reconnect it. And I don't know about others but they don't fit me well and cause pain .","Reviewed in India 🇮🇳 on 13 May 2023","the connectivity issues",3,"",0,"Black"
"R23VR80LDTR58C","MADANMOHAN","Good to use","Reviewed in India 🇮🇳 on 20 May 2023","Good",4,"",0,"Black"
"R29RHSIWK5JEVP","Sachin Kumar"," Tk hai yaar 😂 rupya ho toh lelena 😁😁","Reviewed in India 🇮🇳 on 17 May 2023","OnePlus bullet bahut aacha nickband. hai ☺️ issse kaan dard nhi hota hai",4,"https://m.media-amazon.com/images/I/61TTpnE4USL.jpg
https://m.media-amazon.com/images/I/61ddINYMJAL.jpg
https://m.media-amazon.com/images/I/71VVoLVgn3L.jpg
https://m.media-amazon.com/images/I/71k322nCPgL.jpg
https://m.media-amazon.com/images/I/71mfyAwwkwL.jpg",0,"Black"
"R1MQW2K54A266P","Amazon Customer","This First time writing the comment, After using 10 months my left speaker not sounding. By using this warranty. I have got new bluetooth earphones .With help of OnePlus Care app.Thanks OnePlus.Next time I will buy blindly OnePlus Bluetooth EarPhones.","Reviewed in India 🇮🇳 on 13 April 2023","Very Best Quality Bluetooth Ear phone like never see before.",4,"","2","Black"
"R3ACJG3SZ04MD1","Akash R","Worthy one with beneficial features! Grab the branded one like this when it is available on offer!","Reviewed in India 🇮🇳 on 26 April 2023","Good headset",4,"",0,"Black"
"R6ZY1CYS89QO8","Rakesh Kumar Roy","It has a balanced sound , you may be disappointed if you like heavy base and trable,.One things which one plus need to work that. You can't insert lid inside as you want  due to its diameter...  3rd is rubber bud is to compact if you insert it inside properly you may face  other sounds listening problem.. while I have tried so many other brands which simultaneously provided both sounds from the earbud as well as surround sound too. 4th is if you want to use helmet whole riding  I would recommend not to use this earphone because it block most of the sound around us. Finally as per my experience battery backup is nice. If you are a music lover you may use earbud while sleeping. It design provides confort. To the ears.","Reviewed in India 🇮🇳 on 8 May 2023","Battery backup, balanced sound, unable listen surrounding sound while using this earbud",3,"",0,"Black"
"R2XD08PKONOAA4","vaibhav","good but respost 2-3 sec let","Reviewed in India 🇮🇳 on 26 April 2023","good but respost 2-3 sec let",4,"",0,"Black"
"R2YHME0JA0L4AI","Rahul singh","Average performance","Reviewed in India 🇮🇳 on 27 April 2023","Performance",4,"",0,"Black"
"R15SZBYI035HES","Shreni","Very good product with noise cancellation","Reviewed in India 🇮🇳 on 27 April 2023","Headphones",4,"",0,"Black"
"RLWDVSDHZC80S","Shibu bj","i have used many products in this range but this is an amazing product in this price range , whoever is going to take this i strongly recommend this","Reviewed in India 🇮🇳 on 25 April 2023","nice product",4,"",1,"Black"
"R16B1U37GFFVXT","amit","Gud qulti","Reviewed in India 🇮🇳 on 2 May 2023","😕",4,"",0,"Black"
"R3K9IKE8RD731V","Sachin Vernekar","It does the job. I use it for official ( laptop) calls and for mobile calls as well. It's gets charged fully in 10 minutes, lasts for 2 days for moderate use. Call quality is good. Go for it.","Reviewed in India 🇮🇳 on 22 April 2023","Lasts long and good call quality for mobile and laptops",4,"","3","Black"
"R2K6GOMYK7PFC1","Nilesh Nipurte","Good product","Reviewed in India 🇮🇳 on 2 May 2023","Very nice",4,"",0,"Black"
"R34ZFAOOSY5P81","neelam yadav","Working good but they didnt provide company charging vable when i registered complain that data cable misiing their response was not satisfactoryOverall product is good hight battery life good sound with no echo","Reviewed in India 🇮🇳 on 19 April 2023","Charging cable missing",4,"",0,"Black"
"R3BAIORLNMPA7N","Mohit","Was using one plus z (prev model) got bad after 2yrs of heavy use so ordered this one ☝️ and the difference in quality is instantly noticeable . It has gone down a lot . Mic in prev one was better , touch feel also prev was better , yes z2 is louder but ear tips to neck band quality to mic ws all better in prev model which is no longer available. Even magnet 🧲 is weaker in this one . Hence returned and got myself a nord 2 tws .","Reviewed in India 🇮🇳 on 24 May 2023","Not for prev gen one plus neckband",3,"https://m.media-amazon.com/images/I/712EL8duAIL.jpg",1,"Black"
"R1PJFGG7AH7PRM","debarun choudhury","I used the bullet Z previously for two years, it was of good quality, very comfortable and could be used for long hours but the Z2 seems like a downgrade in build quality and comfort, silicon tips are thin, little loose even with the large sized one and hurts after only a few minutes, sound is good as usual and battery backup is also commendable, calls are pretty clear and it seems to gone down in weight. I just hope I can find some good and comfortable silicon tips to replace the stock ones which I didn't have to do on my previous version.","Reviewed in India 🇮🇳 on 15 May 2023","Uncomfortable.",3,"",0,"Black"
"R25WW59ZYTBEJM","Bharath","Product is good","Reviewed in India 🇮🇳 on 28 April 2023","It was nice",4,"https://m.media-amazon.com/images/I/41yBAhz+iHL.jpg",0,"Black"
"R70C76NGRV0J3","Amal R Jayakumar","I have been using this headset about 6 to 7 hours per day. The sound quality is not bad. I can discern the lyrics really well with it. It also have good enough bass.The problem I have is that the earpiece is bulky and the speaker casing that sits around the outside rub against my ear. It states to hurt after a while.","Reviewed in India 🇮🇳 on 31 May 2023","Hurts the side of the ear during prolonged usage.",3,"",0,"Black"
"R3JS6QPTRMYZHL","Arti","Over all good i like this product must purchase but something not good with wire but I'll manage I'm happy with this product thanks  🤗☺","Reviewed in India 🇮🇳 on 13 April 2023","Battery and sound quality is  too good",4,"",0,"Black"
"R2OYP8OXCARTRL","srinivasarao","Good 💯","Reviewed in India 🇮🇳 on 24 April 2023","Super",4,"",0,"Black"
"R3JRBAOVDTDFQX","karan kanwar","Very good","Reviewed in India 🇮🇳 on 23 April 2023","Good",4,"",0,"Black"
"R2QHVOMARS8IWW","Jagadish","Good","Reviewed in India 🇮🇳 on 27 April 2023","Bass",4,"",0,"Black"
"R1O769SR48SZ1U","dileep kumar","This product helped me a lot in my gym workout and for jogging sessions","Reviewed in India 🇮🇳 on 18 April 2023","Great budget option for workout earphones",4,"",0,"Black"
"RWD4KR5TRF1Q5","prince b.","Its second time i bought this product. My first product lasted almost 1.5 years, maybe because of rough use. But as a product every one will envy the key features of this product. Its excellent battery life, charging features, not so bad sound quality. Nice product.","Reviewed in India 🇮🇳 on 8 April 2023","Worthy",4,"",0,"Black"
"R2WOD0HONJYEOJ","sharvankumarangravat","Very good product","Reviewed in India 🇮🇳 on 22 April 2023","Very good",4,"",0,"Black"
"R25ABYQDTDE8TT","HITESH","Awesome","Reviewed in India 🇮🇳 on 22 April 2023","Awesome",4,"",0,"Black"
"R67LYKR4RF3SX","BHARTIYE","Others sound is ok but self sound seems muted without any inputs to ears being totally sound proof buds, some way round should be there","Reviewed in India 🇮🇳 on 16 April 2023","Good but a small ignorable issue",4,"",0,"Black"
"RQAC7IT8NW111","Rohit Sharma","I mean this earphone like seriously crazy thing I've ever used! I mean for this money it giving this much of value in it, it's just amazing guys. I like the thing that when you just pick on of the side of the earphone it turns on automatically, and even there is no button to on and off for it! Which is very generous idea to do this stuff in an earphone. I'm using it since 5 months and it's nothing the less it's all the same till now! The voice cancellation while talking on a phone call it's all amazing! And the battery dude... It's totally worth it! I even use it like for 3 4 days continuous and it works like there is infinite battery life in it 😅. I mean you charge it for 10 min and use it 3 4 days like seriously its an amazing product! You should go for it!","Reviewed in India 🇮🇳 on 30 April 2023","Dude..",5,"","2","Black"
"RW1SIDSF7ATO4","Pawan Kumar yadav","I like the  product. The sound of this neckband is really good and also very soft and portable","Reviewed in India 🇮🇳 on 19 April 2023","Review of one plus neckband",4,"",0,"Black"
"R1GVETUHYUM0JN","MUKESH SINGH","Best in under 2000rs. Value for mony.nice bass and ecostic sound quality.recomended.","Reviewed in India 🇮🇳 on 23 April 2023","Awesome product",4,"",0,"Black"
"R16FYHYJBRG6HX","Tippana nagaraju","Nice product and sound quality is good","Reviewed in India 🇮🇳 on 24 April 2023","One puls neck band",4,"",0,"Black"
"R3PPB2C9ULWWFS","Gokul prathap","The most interesting feature of this neckband is battery backup & bass🎧, easy to carry fits in ear properly,Con: it connects properly but sometimes audio doesn't come we have to reconnect it again ..","Reviewed in India 🇮🇳 on 9 April 2023","Affordable & Proper Neckband",4,"https://m.media-amazon.com/images/I/61Vrp7iTV2L.jpg",1,"Black"
"RZPQ0G360BUL3","Amazon Customer","Good quality ,Sound quality is good ,Battery backup is awesome","Reviewed in India 🇮🇳 on 16 April 2023","Value for money",4,"",0,"Black"
"RTSY0268SEJQ5","Good","I am very happy to buy this product","Reviewed in India 🇮🇳 on 18 April 2023","Product",4,"",0,"Black"
"R1SYOWA0FENNFV","PAVAN VIJAY JADHAV","ANC not working properly otherwise this is no.1 Neckband.","Reviewed in India 🇮🇳 on 21 April 2023","This is a best but",4,"",1,"Black"
"RRDRT5PLUJAG3","Dipankar Das","Very good product","Reviewed in India 🇮🇳 on 20 April 2023","Very good product",4,"",0,"Black"
"R2N6OG7780ZLNV","Ayush Maurya","Best quality","Reviewed in India 🇮🇳 on 18 April 2023","Superb product 👌👌",4,"",0,"Black"
"R1WYJ23NTRKR5","Bidya pujhari","Nice product","Reviewed in India 🇮🇳 on 20 April 2023","Nice",4,"",0,"Black"
"RVQZRR3QLSA50","Rahul Bhatia","This is absolutely perfect, i dont need to bother about battery as it lasts for 2 days with heavy usage, auto connects and disconnects.Range is very good, I have a huge house, I can move around easily in rooms without glitch.Light weight and flexible","Reviewed in India 🇮🇳 on 26 May 2023","Perfect neckband",5,"",0,"Black"
"RTDXAA5XQA5AA","Amazon Customer","Not working when volume button use for repeated calls to last no.","Reviewed in India 🇮🇳 on 15 April 2023","Nice product",4,"",0,"Black"
"R323S0JIE2L2N5","Kapil","1.Sound quality superb2.No irritation3.good noise cancellation4.good sleek design5. good battery life","Reviewed in India 🇮🇳 on 9 April 2023","Overall good",4,"",0,"Black"
"R2SN911BQVR0RX","Vijay","Overall this price range for worth","Reviewed in India 🇮🇳 on 12 April 2023","Awesome",4,"",0,"Black"
