id,profileName,text,date,title,rating,images,helpful,Colour,Pattern Name
RYYP140XJ9C04,S Rakesh Kumar Das,"Till the usage of one month, I have the opinion that these trendy watch is worth to purchase. Try once.",Reviewed in India 🇮🇳 on 4 May 2023,"Nice, convenient and up to the market need.",4,,5,Jade Green,Smart Watch
RDJB6HQZPOOOX,vishnumurthypamu,Quality super,Reviewed in India 🇮🇳 on 8 May 2023,Good,4,,1,black,Smart Watch
R2HL4EJ8U0YQNU,Allu,Good product,Reviewed in India 🇮🇳 on 6 May 2023,Nice,4,,0,black,Smart Watch
RAU1SP4NLH884,SURAJ YT,,Reviewed in India 🇮🇳 on 9 May 2023,Nice,4,"https://m.media-amazon.com/images/I/715dDyanfBL.jpg
https://m.media-amazon.com/images/I/71tazb0cOKL.jpg",1,black,Smart Watch
R1US0XXXKC0UAL,Sagar patel,amezing 🙌,Reviewed in India 🇮🇳 on 7 May 2023,big display,4,https://m.media-amazon.com/images/I/6119jfg7mwL.jpg,2,black,Smart Watch
R3VVTUUULAE300,S. Sampath Kumar Reddy,Yahh! Its nice,Reviewed in India 🇮🇳 on 3 May 2023,Abhi,4,,0,black,Smart Watch
RDGKH7GND8U7B,Amazon Customer,Watch look good,Reviewed in India 🇮🇳 on 28 April 2023,Product os good,4,,0,blue,Smart Watch
R2VCN1AXHT1CF0,Ankit kumar,Awesome 😎,Reviewed in India 🇮🇳 on 28 April 2023,Good 👍,4,,0,black,Smart Watch
R2GL5YNVCRKESU,abhishek s.,Good,Reviewed in India 🇮🇳 on 28 April 2023,Nice,4,,0,black,Smart Watch
R3G6D5ORMA0TVY,Ryan chhabra,The most important thing you should know the colour in photo and in reality are different .It is painted and does not look like the display photo.Except that the functions are good given the price point the display is average not very goodThe good thing is that we can use its calling feature really helpfull,Reviewed in India 🇮🇳 on 15 April 2023,Watch’s opinion,4,,8,Jade Green,Smart Watch
R1W0VRWVUADQ2V,Dr Shridhar ,Satisfactory performance,Reviewed in India 🇮🇳 on 27 April 2023,Satisfied,4,,0,black,Smart Watch
